name,full_name,html_url,description,stars,forks,language,created_at,updated_at,open_issues
UnifontEX,stgiga/UnifontEX,,An extended fork of GNU Unifont with a focus on high compatibility.,73,1,C,2023-08-12T23:27:46Z,2024-12-02T06:01:30Z,4
wca-live,thewca/wca-live,,Platform for running WCA competitions and sharing live results with the world,71,24,Elixir,2019-07-28T10:42:28Z,2024-12-02T06:00:54Z,39
Dependency,CodeEditorLand/Dependency,,🖇️ Dependency —,67,1,Shell,2023-10-28T23:33:22Z,2024-12-02T06:02:28Z,0
feedstocks,conda-forge/feedstocks,,"All conda-forge feedstocks, in one convenient place",63,35,,2016-01-13T09:09:47Z,2024-12-02T06:02:41Z,0
MEV-BOT-web3,JaredMEV2/MEV-BOT-web3,,The source code of my MEV-bot 2 Upgrade. Instructions and access in the Readme description and on the website,60,50,Solidity,2024-11-20T08:15:03Z,2024-12-02T06:02:13Z,0
tnf,umijs/tnf,,,59,15,TypeScript,2024-10-28T06:43:13Z,2024-12-02T06:01:11Z,13
efax,NeilGirdhar/efax,,Exponential families for JAX,57,4,Python,2020-03-24T05:44:07Z,2024-12-02T06:01:18Z,9
ppf-contact-solver,st-tech/ppf-contact-solver,,"A contact solver for physics-based simulations involving 👚 shells, 🪵 solids and 🪢 rods.",54,0,Cuda,2024-11-21T02:20:52Z,2024-12-02T06:01:14Z,0
C2R,CNMan/C2R,,,45,4,Shell,2018-04-05T02:53:05Z,2024-12-02T06:01:05Z,1
MAVSDK-Proto,mavlink/MAVSDK-Proto,,Collection of proto files used by gRPC in MAVSDK,43,93,Python,2017-12-08T15:57:31Z,2024-12-02T06:01:25Z,9
mcbroken-archive,rashiq/mcbroken-archive,,🍦 Historical Archive of my website mcbroken.com,43,4,Shell,2021-03-18T00:40:00Z,2024-12-02T06:02:06Z,1
CertStream-Domains,Azathothas/CertStream-Domains,,[Automated | UpToDate] Daily Dumps of CertStream Certificate Logs Subdomains Data (SAN || CN),40,8,,2023-10-18T07:12:43Z,2024-12-02T06:01:53Z,1
gitdm,cncf/gitdm,,📜Fork for tracking CNCF projects,39,424,Ruby,2023-03-30T07:50:40Z,2024-12-02T06:02:36Z,5
skeleton,getparthenon/skeleton,,The Symfony SaaS boilerplate Skeleton Application,36,5,PHP,2022-08-24T10:29:25Z,2024-12-02T06:02:28Z,0
bsc-predict-updater,bsc-predict/bsc-predict-updater,,PancakeSwap Prediction Market raw round data,35,13,Python,2021-08-09T00:02:07Z,2024-12-02T06:00:53Z,1
nasa-wildfires,datadesk/nasa-wildfires,,Download wildfire hotspots detected by NASA satellites and the Fire Information for Resource Management System (FIRMS),34,6,Python,2019-06-24T21:15:22Z,2024-12-02T06:02:37Z,1
aws-iam-actions-list,TryTryAgain/aws-iam-actions-list,,A list of all known Amazon Web Services' IAM actions; and a way of updating that list.,31,7,Shell,2021-10-18T02:08:24Z,2024-12-02T06:02:08Z,1
qtlanguageserver,qt/qtlanguageserver,,An implementation of the Language Server Protocol,30,16,C++,2020-01-23T14:13:51Z,2024-12-02T06:01:52Z,0
GX-Mods-Extension,noblereign/GX-Mods-Extension,,"A WebExtension for Firefox. Add ambient music, typing sounds, and more to your browsing experience.",29,3,JavaScript,2023-10-22T03:45:23Z,2024-12-02T06:01:41Z,6
backend-scoreboard,onnx/backend-scoreboard,,Scoreboard for ONNX Backend Compatibility,27,28,Python,2018-08-10T18:08:12Z,2024-12-02T06:02:01Z,7
clipboard-history,ayoung19/clipboard-history,,"A Chrome extension for managing your clipboard history securely, efficiently, and effortlessly.",25,5,TypeScript,2024-03-22T05:05:50Z,2024-12-02T06:01:42Z,13
qtimageformats,qt/qtimageformats,,Additional Image Format plugins for Qt,25,57,C++,2013-05-06T07:27:12Z,2024-12-02T06:02:08Z,0
ris-backend-service,digitalservicebund/ris-backend-service,,RIS Caselaw,24,9,Java,2022-04-05T14:27:32Z,2024-12-02T06:02:28Z,5
aiku,inikoo/aiku,,White-label opinionated ERP web app,24,1,PHP,2022-08-09T09:07:57Z,2024-12-02T06:01:25Z,229
adventofcode,James-Ansley/adventofcode,,My solutions to the Advent of Code challenges,23,2,Python,2020-12-09T21:45:48Z,2024-12-02T06:01:07Z,0
devfestahm,GDGAhmedabad/devfestahm,,GDG Ahmedabad DevFest website,21,137,TypeScript,2019-08-13T19:00:45Z,2024-12-02T06:02:26Z,4
learn-git-mastery,HashimThePassionate/learn-git-mastery,,"The Ultimate Git Mastery Repository is your go-to guide for mastering Git. With clear tutorials, practical exercises, and real-world examples, it's perfect for beginners and experienced developers alike. From basic commands to advanced techniques like collaboration and branching, this repository has everything you need to level up your Git skills.",21,2,,2023-12-05T07:41:27Z,2024-12-02T06:01:50Z,0
accuweather,bieniu/accuweather,,Python wrapper for getting weather data from AccuWeather servers for Limited Trial package.,20,7,Python,2020-06-18T16:08:28Z,2024-12-02T06:02:21Z,1
wcag-act-rules,w3c/wcag-act-rules,,WCAG Conformance Test Rules,19,16,HTML,2017-09-07T10:46:29Z,2024-12-02T06:02:24Z,42
qtcoap,qt/qtcoap,,Qt CoAP client module,18,16,C++,2017-10-16T14:01:52Z,2024-12-02T06:02:03Z,0
SevenKewp,wootguy/SevenKewp,,Half-Life Co-op mod,18,5,C++,2020-11-18T04:54:08Z,2024-12-02T06:00:51Z,10
DeployerIDE-ERC20-Toolkit,oadfade/DeployerIDE-ERC20-Toolkit,,"DeployerIDE – a dedicated local platform for creating and deploying ERC-20 smart contracts. A powerful, secure alternative to RemixIDE, providing advanced tools for Ethereum and EVM-based contract development in a private, offline environment.",17,15,Python,2024-11-12T18:45:36Z,2024-12-02T06:01:50Z,1
example-package,slsa-framework/example-package,,,17,25,TypeScript,2022-04-27T19:30:43Z,2024-12-02T06:02:34Z,37
qtactiveqt,qt/qtactiveqt,,ActiveQt,17,31,C++,2013-05-06T06:01:06Z,2024-12-02T06:01:42Z,0
inverse-web,InverseFinance/inverse-web,,,17,17,TypeScript,2021-06-09T20:08:35Z,2024-12-02T06:01:00Z,6
foggy-bot,dbreunig/foggy-bot,,A simple weather website for Downtown San Francisco.,16,2,Python,2024-10-29T16:55:18Z,2024-12-02T06:02:07Z,0
TestnetProtocol,exorde-labs/TestnetProtocol,,,16,19,Solidity,2022-07-06T10:44:29Z,2024-12-02T06:02:16Z,0
sqxclib,chhuang-one/sqxclib,,"sqxclib is a library to convert data between C language and SQL, JSON, etc. It provides ORM features and C++ wrapper.",16,4,C++,2020-07-16T17:39:40Z,2024-12-02T06:01:34Z,0
best_cf_ip,darkqiank/best_cf_ip,,cf ip 优选,15,3,Python,2024-06-24T02:29:41Z,2024-12-02T06:01:28Z,0
oclapi2,OpenConceptLab/oclapi2,,OCL Terminology Service v2 in python/django,15,32,Python,2020-06-05T16:23:50Z,2024-12-02T06:02:15Z,14
Meadow_Issues,WildernessLabs/Meadow_Issues,,Public repo for bugs and issues with Meadow,15,0,,2019-01-18T21:08:59Z,2024-12-02T06:01:30Z,227
nist-inject,opentimestamps/nist-inject,,"An injection of the NIST, ETH, LTC, and ZEC Random Beacons into Bitcoin",14,96,,2019-01-07T09:33:58Z,2024-12-02T06:02:34Z,0
v2ray-configs,SoliSpirit/v2ray-configs,,"V2Ray configs for multiple protocols and countries, updated every 15 minutes for fast, secure connections!",14,0,,2024-11-10T13:02:47Z,2024-12-02T06:02:42Z,0
2m4u,2M4U/2m4u,,"Welcome Github User to the Code Land of 2M4U (me), What you see below is a future project for updating my In-Game Fortnite Statistics, Feel free to Fork this repository If you wish to see how this works.",14,10,JavaScript,2022-03-02T15:57:55Z,2024-12-02T06:01:01Z,7
ProxyPool,CNMengHan/ProxyPool,,Continuously update the latest anonymous proxy nodes in real-time.,13,6,,2024-10-02T11:54:50Z,2024-12-02T06:01:01Z,0
